ティッカー,銘柄（英語）,事業内容,市場
AVID,Avid Technologyアビッドテクノロジー,デジタルメディアコンテンツの制作・操作用ソフトウエアおよびシステムの開発、販売、サポートに従事するソフトウエア会社,NASDAQ
AVLR,Avalaraアバララ,米国のソフトウェア企業。主に自動納税対応ソフトウェアの作成・販売に従事する。,NYSE
AVNS,Avanos Medicalアヴァノス メディカル,手術用マスク・手袋等の医療器具や滅菌包装材等の医療用品を提供,NYSE
AVNW,Aviat Networksアビアット ネットワークス,ネットワーク管理ソフトウェアの供給に従事する会社。,NASDAQ
AVP,Avon Productsエイボン プロダクツ,美容商品メーカー,NYSE
AVT,Avnetアヴネット,IT製品流通会社,NASDAQ
AVTR,Avantor Incアバンター,化学品、試薬、研究用備品を製造・販売している化学品メーカー。,NYSE
AVX,AVX CorporationＡＶＸ,各種受動電子部品と関連製品を製造・供給している電子部品メーカー。,NYSE
AVY,Avery Dennisonエイブリー デニソン,感圧接着剤メーカー,NYSE
AVYA,Avaya Holdingsアバイア ホールディングス,子会社を通じて、業務提携および通信のソフトウェアによるソリューションを提供する持株会社。,NYSE
AWI,Armstrong World Industriesアームストロング ワールド インダストリーズ,床材、天井材をデザイン・製造する内装材メーカー,NYSE
AWK,American Water Worksアメリカン ウォーター ワークス,上下水道サービスの提供を行う,NYSE
AWR,American States Waterアメリカン ステーツ ウォーター,米カリフォルニア州にある水道会社,NYSE
AWRE,Aware Inc of Massachusettsアウェア オブ マサチューセッツ,ソフトウエア会社。生体認証機器業界向けにソフトウエアサービスを提供。,NASDAQ
AX,Axos Financial Incアクソス ファイナンシャル,BoflFederalBankの持株会社。,NYSE
AXAS,Abraxas Petroleumアブラクサス ペトロリアム,主に、米国とカナダで原油と天然ガスの探鉱・生産を手掛ける油田やガス田の買収会社。,NASDAQ
AXGN,Axogenアクソジェン,再生医療会社。末梢神経再建および再生技術の開発・商品化に注力。製品は末梢神経の修復のために使用される。,NASDAQ
AXGT,Axovant Gene Therapies Ltdアクソバント ジーン セラピーズ,英国(バミューダ籍)の臨床段階のバイオ医薬品メーカー。,NASDAQ
AXNX,Axonics Modulation Technologies Incアクソニクスモデュレーションテクノロジーズ,米国の医療技術企業。身体に対する侵襲度が低い脳神経外科用の医療機器の設計・開発・商用化に従事する。,NASDAQ
AXP,American Expressアメリカン エキスプレス,金融・旅行サービス大手,NYSE
AXS,Axis Capital Holdingsアクシス キャピタル ホールディングス,バミューダの再保険会社,NYSE
AXSM,Axsome Therapeutics Incアクサム セラピューティクス,世界各地で事業を展開しているバイオ医薬品メーカー。,NASDAQ
AXTA,Axalta Coating Systemsアクサルタ コーティング システムズ,液体塗料と粉体塗料の開発・製造・販売に特化した会社,NYSE
AXTI,AXT IncAXT,世界各地で事業を展開する半導体メーカー。,NASDAQ
AYI,Acuity Brands Incアキュイティー ブランズ,屋内外用など総合的な照明や管理システムの設計、製造、販売に従事する照明器具メーカー。,NYSE
AYX,Alteryx Aアルテリックス A,米国のソフトウェア企業。,NYSE
AZO,AutoZoneオートゾーン,自動車専門部品・アクセサリー小売店,NYSE
AZPN,Aspen Technologyアスペン テクノロジー,最適化ソフトウェアソリューションのグローバルプロバイダー。,NASDAQ
B,Barnes Groupバーンズ グループ,世界で工業製品、鉱業技術およびソリューションを提供している企業。,NYSE
BA,The Boeingボーイング,航空機メーカーの最大手,NYSE
BAC,Bank of Americaバンク オブ アメリカ,大手銀行、金融持株会社,NYSE
BAH,Booz Allen Hamilton Holding Aブーズ アレン ハミルトン ホールディング A,ITコンサルティングサービスの提供,NYSE
BAM,Brookfield Asset Management Aブルックフィールド アセット マネジメント A,不動産や発電に特化したカナダの資産管理会社,NYSE
BANC,Banc Of Californiaバンク オブ カリフォルニア,個人、民間企業、起業家、世帯、雇用者、住宅保有者向けに商業銀行業務および住宅ローンのサービスを提供する銀行。,NYSE
BAND,Bandwidth Inc Aバンドウィズ A,主にクラウドベースの通信プラットフォームを提供するIT企業。,NASDAQ
BANF,BancFirstバンクファースト,個人・法人顧客に各種ローンやキャッシュマネジメント、信託、仲介などの金融商品とサービスを提供している。,NASDAQ
BANR,Bannerバナー,個人、法人、および公共部門事業向けに、さまざまな商業銀行業務と金融商品の提供している。,NASDAQ
BAP,CrediCorp Ltdクレディコープ,子会社を通じて、商業・投資銀行業務のほか保険業務などを提供しているペルーに本社を置くバミューダ籍の金融サービス持株会社。,NYSE
BAX,Baxter Internationalバクスター インターナショナル,血液病治療薬品・機器の最大手,NYSE
BB,Blackberryブラックベリー,カナダに本社を置く通信機器メーカー。BlackBerryの製造・販売に従事,NYSE
BBBY,Bed Bath & Beyondベッド バス アンド ビヨンド,家庭用品小売チェーン,NASDAQ
BBIO,Bridgebio Pharma Incブリッジバイオ ファーマ,主に遺伝性疾患のための医薬品の開発に従事するバイオ医薬品企業。,NASDAQ
BBQ,BBQ HoldingsBBQホールディングス,カジュアルレストラン｢フェイマス・デイブス｣のフランチャイズ運営を手掛ける米国のレストランチェーン。,NASDAQ
BBW,Build A Bear Workshopビルド ア ベア ワークショップ,顧客が独自のぬいぐるみを作る体験型ストア。,NYSE
BBY,Best Buyベスト バイ,家電量販店チェーン,NYSE
BC,Brunswickブランズウィック,米国のレジャー製品メーカー。,NYSE
BCBP,BCB BancorpBCBバンコープ,中小企業および消費者向けにサービスを提供する商業銀行。,NASDAQ
BCC,Boise Cascadeボイス カスケード,構造、外観、および工業用合板パネルだけでなく、加工木材製品を製造する米国の建築製品メーカー。,NYSE
BCE,BCEビーシーイー,カナダで通信サービスを提供,NYSE
BCEI,Bonanza Creek Energyボナンザ クリーク エナジー,石油・天然ガスの買収、探鉱、開発、生産を行う米国の独立系探鉱・生産会社。,NYSE
BCLI,BrainStorm Cell Therapeuticsブレインストーム セル セラピューティクス,筋萎縮性側索硬化症（ALS）などの神経変性疾患向けの自己成体幹細胞治療法を開発するバイオテクノロジー会社。,NASDAQ
BCO,The Brink'sブリンクス,金融機関などに提供するグローバルなセキュリティー・サービス会社。,NYSE
BCOR,Blucoraブルコラ,世界各地の取引企業向けに個人・専門家向けにオンライン税務ソリューションを提供しているIT関連会社。,NASDAQ
BCPC,Balchem Corpバルケム,食品、飼料、医療消毒業界向けに特殊機能性材料を開発、製造、販売する化学品メーカー。,NASDAQ
BCRX,Biocryst Pharmaceuticalsバイオクリスト ファーマシューティカルズ,感染症、炎症性疾患、がんに含まれる主要酵素を阻止する小分子薬の設計、最適化、開発を手掛けるバイオ製薬会社,NASDAQ
BDC,Belden Incベルデン,シグナルトランスミッション・ソリューションのメーカー｡,NYSE
BDX,Becton Dickinsonベクトン ディッキンソン,グローバル医療テク ノロジー企業,NYSE
BE,Bloom Energy Aブルーム エナジー A,発電機器メーカー。燃料電池システムやエネルギー・サーバーの設計・製造・販売。,NYSE
BEAT,Biotelemetry Incバイオテレメトリ,来患者の個別健康状態に関する臨床情報をモニターする管理ソリューションを提供する医療関連会社。,NASDAQ
BECN,Beacon Roofing Supplyビーコン ルーフィング サプライ,米国とカナダで、外壁羽目板、窓、特殊板材、防水システムなどを販売している会社。,NASDAQ
BEN,Franklin Resourcesフランクリン リソーシズ,コンサルタント会社,NYSE
BERY,Berry Global Group Incベリー グローバル グループ,世界で事業を展開するプラスチック製品・コンテナを製造。,NYSE
BFAM,Bright Horizons Family Solutionsブライトホライズンファミリーソリューション,保育や早期教育サービスなどを提供する米国企業。,NYSE
BG,Bungeブンゲ,総合食品会社。とうもろこしや大豆の生産から、農薬・肥料の供給まで幅広く手がける,NYSE
BGG,Briggs&Strattonブリッグス アンド ストラットン,芝刈り機や発電機、高圧洗浄機等に使用されている空冷ガソリンエンジンを設計、製造、販売,NYSE
BGS,B&G FoodsB&Gフーズ,北米の常温保存食製造・販売・配送している加工食品会社,NYSE
BHC,Bausch Healthボシュ ヘルス,カナダの総合製薬会社,NYSE
BHE,Benchmark Electronics Incベンチマーク エレクトロニクス,電子機器の受託製造・設計サービスに従事している受託製造サービス会社。,NYSE
BHF,Brighthouse Financialブライトハウス ファイナンシャル,保険・投資管理会社。,NASDAQ
BHLB,Berkshire Hills Bancorp Incバークシャイアヒルズ バンコープ,マサチューセッツ州認可の貯蓄銀行で、ピッツフィールドとバークシャイヤーの両郡で事業を展開する持株会社。,NYSE
BIG,Big Lots Incビッグ ロッツ,全米各地の営業店舗で在庫処分品を販売する小売業者。,NYSE
BIIB,Biogenバイオジェン,バイオ医薬品会社,NASDAQ
BIO,Bio-Rad Laboratories Aバイオ ラッド ラボラトリーズ A,ライフサイエンス用研究器材などを販売・製造している研究所の運営会社,NYSE
